# This file carries information about MOS6502 CPU's instruction set.
#
# Data contained here is used to autogenerate instruction decoding
# logic for the emulator.
#
# The meaning of each column is as follows:
#   1. Opcode of the instruction in hex.
#   2. Whenever the instruction only reads memory, only writes, or both.
#   3. Mnemonic of the instruction.
#   4. Addressing mode of the instruction's operands; two addressing
#      modes can be given, separated by a pipe, in which case the one on the
#      left is used for generating decoding logic for the emulator, while
#      the one on the right is used for the pretty printer.
#   5. Piece of code that will handle given instruction.
#
0x65 R   adc    abs_zp              adc()
0x6D R   adc    abs                 adc()
0x75 R   adc    addx_zp             adc()
0x69 R   adc    imm8                adc()
0x79 R   adc    addy                adc()
0x7D R   adc    addx                adc()
0x71 R   adc    indexed_indirect    adc()
0x61 R   adc    indirect_indexed    adc()
0x25 R   and    abs_zp              and()
0x2D R   and    abs                 and()
0x35 R   and    addx_zp             and()
0x29 R   and    imm8                and()
0x3D R   and    addx                and()
0x39 R   and    addy                and()
0x21 R   and    indirect_indexed    and()
0x31 R   and    indexed_indirect    and()
0x06 RW  asl    abs_zp              asl()
0x0E RW  asl    abs                 asl()
0x16 RW  asl    addx_zp             asl()
0x1E RW  asl    addx_EC             asl()
0x0A RW  asl    reg_a               asl()
0xB0 R   bcs    imm8                branch( StatusFlag::Carry, true )
0x90 R   bcc    imm8                branch( StatusFlag::Carry, false )
0xF0 R   beq    imm8                branch( StatusFlag::Zero, true )
0xD0 R   bne    imm8                branch( StatusFlag::Zero, false )
0x30 R   bmi    imm8                branch( StatusFlag::Sign, true )
0x10 R   bpl    imm8                branch( StatusFlag::Sign, false )
0x50 R   bvc    imm8                branch( StatusFlag::Overflow, false )
0x70 R   bvs    imm8                branch( StatusFlag::Overflow, true )
0x24 R   bit    abs_zp              bit()
0x2C R   bit    abs                 bit()
# BRK needs imm8 since it increments PC when fetching the throwaway byte.
0x00 _   brk    imm8|_              brk()
0x18 _   clc    _                   clr( StatusFlag::Carry )
0xD8 _   cld    _                   clr( StatusFlag::BCDMode )
0x58 _   cli    _                   clr( StatusFlag::IRQDisable )
0xB8 _   clv    _                   clr( StatusFlag::Overflow )
0xC5 R   cmp    abs_zp              compare( A )
0xCD R   cmp    abs                 compare( A )
0xD5 R   cmp    addx_zp             compare( A )
0xC9 R   cmp    imm8                compare( A )
0xD9 R   cmp    addy                compare( A )
0xDD R   cmp    addx                compare( A )
0xC1 R   cmp    indirect_indexed    compare( A )
0xD1 R   cmp    indexed_indirect    compare( A )
0xE4 R   cpx    abs_zp              compare( X )
0xEC R   cpx    abs                 compare( X )
0xE0 R   cpx    imm8                compare( X )
0xC4 R   cpy    abs_zp              compare( Y )
0xCC R   cpy    abs                 compare( Y )
0xC0 R   cpy    imm8                compare( Y )
0xC6 RW  dec    abs_zp              incdec( -1 )
0xCE RW  dec    abs                 incdec( -1 )
0xD6 RW  dec    addx_zp             incdec( -1 )
0xDE RW  dec    addx_EC             incdec( -1 )
0xCA RW  dex    reg_x               incdec( -1 )
0x88 RW  dey    reg_y               incdec( -1 )
0x45 R   eor    abs_zp              eor()
0x4D R   eor    abs                 eor()
